,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,A Killer Deadlier than Hitler? Joseph Stalin Part 2 | Dark History with Bailey Sarian,2023-05-18,338049.0,14947,1454,"Hi friends, happy Thursday!

Welcome to the Dark History podcast. And welcome to part two of our deep dive into the life of one of the most influential and destructive dictators of all time, Joseph Stalin. Stalin was responsible for the deaths of MILLIONS, and that’s just the beginning. Today, we’ll be covering his rise to power, reign of terror, and the devastating impact he had on the people of Russia. If you liked part one, it’s going to be an even wilder ride- and if you missed part one, catch up here: https://www.youtube.com/watch?v=Dk1qGkH0e_U.

I appreciate you for coming by, and tune in next week for more Dark History. 

Want some cool Bailey Merch? 
Shop *NEW* Season 2 Dark History Merch: https://www.baileysarian.com

PJ's I am wearing in today's video:  https://howl.me/cjDj8eD61ud

_______

You can find the Dark History podcast on Apple, Spotify, wherever you listen to your podcasts, and every Thursday here on my YouTube for the visual side of things. 

Apple Podcast- https://www.apple.co/darkhistory
Dark History Merch-  https://www.baileysarian.com
_______

FOLLOW ME AROUND  
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d 
Discord: https://discord.gg/BaileySarian

RECOMMEND A STORY HERE: cases4bailey@gmail.com 

Business Related Emails: baileysarianteam@wmeagency.com

Business Related Mail: 
Bailey Sarian 
4400 W. Riverside Dr., Ste 110-300 
Burbank, CA 91505

Chapters:
INTRO - 00:00
CANNIBALISM - 2:06
STALIN IN LOVE - 05:58
THE GREAT TERROR - 10:11
STRAIGHT TO THE GULAG - 15:43
FRENEMY BACKSTABBING - 21:09
DRUNKEN GIGGLES - 24:49
STALIN = GOD - 29:46
GOODBYE DOCTORS - 35:32
CONCLUSION - 38:46

Dark History is an Audioboom Original.

This podcast is Executive Produced by:
Bailey Sarian, Dunia McNeily from 3arts, Kevin Grosch, and Matt Enlow From Made In Network
Writers: Katie Burris, Allyson Philobos, Joey Scavuzzo, and Bailey Sarian
Research provided by: The Dark History Research Team
Special thank you to Historical Consultant: Anita Pisch
Shot By: Brian Jaggers
Post Supervisor: Kelly Hardin 
Production Management: Ross Woodruff
Hair: Prince Angel
Makeup: Roni Herrera 
I'm your host --  Bailey Sarian",May,Bailey Sarian
1,His Waterbed Secrets - Life Sentence At 14?! Joshua Phillips | Mystery & Makeup | Bailey Sarian,2023-05-15,1785418.0,67665,5289,"Hi friends, happy Monday!

Joshua Phillips committed an unspeakable crime in his own neighborhood at only 14. What role did his dad actually play in this murder? Do you think he was telling the truth about what really happened?

Also, let me know who you want me to talk about next time. Hope you have a great rest of your week, make good choices and I'll be seeing you very soon
xo
Bailey Sarian

________


:  :    F O L L O W    M E     :  :

Discord: http://discord.gg/baileysarian
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d

RECOMMEND A STORY HERE : cases4bailey@gmail.com 

Business Related Emails : Baileysarianteam@wmeagency.com

Wanna Send Me Something?
Bailey Sarian
4400 W Riverside Dr Ste 110-300,
Burbank, CA 91505
_________

:  :    P R O D U C T S     U S E D    :  :

FACE
Rare Beauty 170W Concealer https://howl.me/cjFpy1dHSgW

Jouer Essential High Coverage Liquid Concealer https://howl.me/cjFpy0yJMlv

Stay Naked Quickie 30NN Concealer https://howl.me/cjFpy1mU70N

Stay Naked Quickie 40WY Concealer https://howl.me/cjFpy1bChro

Haus Labs Dragon Fruit Daze Blush https://howl.me/cjFpy1q2Jur

ColourPop New To U Blush https://howl.me/cjFpy1nZh5r

Mob M80 Cream Bronzer https://howl.me/cjFpy0UVKTg

S/O Translucent Setting Powder https://howl.me/cjFpy0JwZ76

Scott Barnes Contour Palette https://howl.me/cjFpy0x74fy

EYES
ColourPop BFF Créme Gel Liner https://howl.me/cjFpy0IJJoi

Benefit Brow Microfilling Pen Deep Brown https://howl.me/cjFpy0Evv2J

L’Oreal Infallible Foundation (used under eye) https://howl.me/cjFpy08HwyQ

Mac Paint Pot Soft Ochre A70  https://howl.me/cjFpy1r8tTg

Huda Beauty Empowered Eyeshadow Palette https://howl.me/cjFpy00DyQl

Jecca Blac Brow Seal Brow Gel https://howl.me/cjFpy0uGlQx

Lash Couture Super Strong Strip Lash Adhesive https://howl.me/cjFpy1hcd1T

Kiss Lashes Jubilee https://howl.me/cjFpy03CjAm

Mac Stack Mascara https://howl.me/cjJctRCwf5Y

LIPS
Jaclyn Lip Liner Comin’ In Hot https://howl.me/cjFpy1BEknU

Sephora Cream Lip Stain 09 https://howl.me/cjFpy09fl6N


♡ 
*These links are affiliate links. Which means, if you click on the link and purchase a product, a small percentage comes back to me. It helps me keep on keepin on with my videos, and I appreciate you if you choose to support. If you don’t, that’s ok too.",May,Bailey Sarian
2,The Mass Murderer Nobody Talks About: Joseph Stalin Part 1 | Dark History with Bailey Sarian,2023-05-11,743621.0,25668,2354,"Hi friends, happy Thursday!

Welcome to the Dark History podcast. We all know of Hitler, and you might know of Joseph Stalin… but did you know that Stalin was DEADLIER  than Hitler? Me neither. Anyways, Stalin is a real rags-to-dictator type of guy. So much so that this story needs two episodes to do it justice, so stay tuned for part two next Thursday.  

I appreciate you for coming by, and tune in next week for more Dark History. 

Want some cool Bailey Merch? 
Shop *NEW* Season 2 Dark History Merch: https://www.baileysarian.com

PJ's I am wearing in today's video: https://howl.me/cjDj8eD61ud

More info on Stalin:
https://blogs.loc.gov/international-collections/2021/01/forced-migration-biographies-of-the-soviet-koreans-who-helped-to-establish-the-north-korean-state/

https://www.rbth.com/history/333112-stalin-forced-relocation-nations

https://www.historyworkshop.org.uk/migration/non-returners-forced-repatriation-of-soviet-citizens-and-the-development-of-refugee-protections/

_______

You can find the Dark History podcast on Apple, Spotify, wherever you listen to your podcasts, and every Thursday here on my YouTube for the visual side of things. 

Apple Podcast- https://www.apple.co/darkhistory
Dark History Merch-  https://www.baileysarian.com
_______

FOLLOW ME AROUND  
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d 
Discord: https://discord.gg/BaileySarian

RECOMMEND A STORY HERE: cases4bailey@gmail.com 

Business Related Emails: baileysarianteam@wmeagency.com

Business Related Mail: 
Bailey Sarian 
4400 W. Riverside Dr., Ste 110-300 
Burbank, CA 91505

Chapters:
INTRO - 00:00 
MASTER AND MARGARITA - 00:40
WORSE THAN HITLER - 03:44
SHORT KING SYNDROME - 06:46
STALIN THE SINGER - 11:59
COMMUNISM IS COOL - 14:59
THE OBSERVATORY - 17:20
PROFESSIONAL REVOLUTIONARY - 20:41
STUCK IN SIBERIA - 25:50
BESTIE LENIN - 29:51
THE ROMANOVS END - 34:13
ANARCHY, BABY! - 41:06
STALIN STIRS THE POT - 45:08
HUMAN-APE HYBRIDS - 49:20
FIVE-YEAR PLAN - 52:44
SOMETHING SO EVIL - 56:48
CONCLUSION - 59:15

Dark History is an Audioboom Original.

This podcast is Executive Produced by:
Bailey Sarian, Dunia McNeily from 3arts, Kevin Grosch, and Matt Enlow From Made In Network
Writers: Katie Burris, Allyson Philobos, Joey Scavuzzo, and Bailey Sarian
Research provided by: The Dark History Research Team
Special thank you to Historical Consultant: Anita Pisch
Shot By: Brian Jaggers
Post Supervisor: Kelly Hardin 
Production Management: Ross Woodruff
Hair: Prince Angel
Makeup: Roni Herrera 
I'm your host --  Bailey Sarian",May,Bailey Sarian
3,The Woodworking Wacko - Psychopath Cameron Hooker  | Mystery & Makeup | Bailey Sarian,2023-05-08,2262774.0,75106,4589,"For 16 free meals with HelloFresh PLUS free shipping, use code BAILEYSARIAN16 at https://bit.ly/441nry6

Hi friends, happy Monday!

Today we’re talking about Cameron Hooker: was everything terrible you can imagine. The worst part, nobody even did anything about it for years- not even his wife. What do you guys think should have happened to Janice after all of this?

Also, let me know who you want me to talk about next time. Hope you have a great rest of your week, make good choices and I'll be seeing you very soon
xo
Bailey Sarian

________


:  :    F O L L O W    M E     :  :

Discord: http://discord.gg/baileysarian
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d


RECOMMEND A STORY HERE : cases4bailey@gmail.com 

Business Related Emails : Baileysarianteam@wmeagency.com

Wanna Send Me Something?
Bailey Sarian
4400 W Riverside Dr Ste 110-300,
Burbank, CA 91505

_________

:  :    P R O D U C T S     U S E D    :  :

EYES
Jecca Blac Brow Gel https://howl.me/cjCrfvRflz9

ColourPop Blue Moon Palette https://howl.me/cjCrfwfYsac

Huda Beauty Empowered Eyeshadow Palette https://howl.me/cjCrfwu0mhI

Urban Decay Moondust Eyeshadow Palette https://howl.me/cjCrfvZjvMp

Maybelline Instant Age Rewind Eraser Dark Circles 20P909 https://howl.me/cjCrfvPnttl

About Face Pearly Shadowstick https://howl.me/cjCrfwqacAu

Melt Slick Waterline Eye Pencil Ivory https://howl.me/cjCrfwfi8QS

Melt Electrip Eyeshadow Palette https://howl.me/cjCrfwqexBI

LASHES
Makeup Forever Smoky Lash https://howl.me/cjCrfvWKFjD

Kiss Lash Couture Haute Couture https://howl.me/cjCrfv3xb8W

FACE
Scott Barnes Contour Palette https://howl.me/cjCrfv7wYIi

ColourPop Crystal Face Jewels https://howl.me/cjCrfwf5W9h

Jaclyn Brightening and Setting Palette https://howl.me/cjCrfw7pgLz

Pixi Glow-y Gossamer Duo https://howl.me/cjCrfwYUUn6

Urban Decay Stay Naked Quickie Concealer 30NN https://howl.me/cjCrfxgpZ8d

ColourPop Pressed Powder Blush New To U https://howl.me/cjCrfxAVKvV

Nars Light Reflecting Setting Powder Shore https://howl.me/cjCrfxQ9dPW

MAC Soft Ochre Pro Longwear Paint Pot A70 https://howl.me/cjCrfxrezxP

Mob Cream Bronzer M80 https://howl.me/cjCrfxPDsUt

Haus Labs Color Fuse Blush Dragon Fruit Daze https://howl.me/cjCruDWKPxj

LIPS
ColourPop Lux Lip Oil Under the Stars https://howl.me/cjCrjIvu6XQ

Sephora Rouge velouté sans transfert Cream lip stain https://howl.me/cjCrjIH5lfb

Jaclyn Lip Liner Bourbon https://howl.me/cjCrjIlkOyy


♡ 
*These links are affiliate links. Which means, if you click on the link and purchase a product, a small percentage comes back to me. It helps me keep on keepin on with my videos, and I appreciate you if you choose to support. If you don’t, that’s ok too.",May,Bailey Sarian
4,This Bloody Crime Saved Our Lives: The Dark History of 911 | Dark History with Bailey Sarian,2023-05-04,708164.0,26357,1511,"Hi friends, happy Thursday!

Welcome to the Dark History podcast. Today we are diving in to a topic personal to me - my mom was a 911 dispatcher when I was growing up. And this experience always made me wonder… what happened before 911 existed? I did some digging, and it turns it involves the Titanic sinking, a woman named Kitty in Queens, and the modern-day Karen.

I appreciate you for coming by, and tune in next week for more Dark History. 

Support our sponsor: https://www.beistravel.com/darkhistory

Want some cool Bailey Merch? 
Shop *NEW* Season 2 Dark History Merch: https://www.baileysarian.com

PJ's I am wearing in today's video:  https://howl.me/cjBzmZoQujY
_______

You can find the Dark History podcast on Apple, Spotify, wherever you listen to your podcasts, and every Thursday here on my YouTube for the visual side of things. 

Apple Podcast-  https://www.apple.co/darkhistory
Dark History Merch-  https://www.baileysarian.com
_______

FOLLOW ME AROUND  
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d 
Discord: https://discord.gg/BaileySarian

RECOMMEND A STORY HERE: cases4bailey@gmail.com 

Business Related Emails: baileysarianteam@wmeagency.com

Business Related Mail: 
Bailey Sarian 
4400 W. Riverside Dr., Ste 110-300 
Burbank, CA 91505

Chapters:
INTRO - 00:00
MY RELATIONSHIP WITH 911 - 00:35
THE TITANIC SINKS - 02:50
KITTY IN QUEENS - 05:18
CRIME COMMISSION - 09:50
911’S SOFT LAUNCH - 14:10
BILL CHANGES THE GAME - 19:06
LIFE OF A DISPATCHER - 23:12
SHAWN THE NOT-SO-GREAT - 27:18
KAREN CALLS - 37:50
911 BACKFIRES - 42:05
CONCLUSION - 46:00


Dark History is an Audioboom Original.

This podcast is Executive Produced by:
Bailey Sarian, Dunia McNeily from 3arts, Kevin Grosch, and Matt Enlow From Made In Network
Writers: Katie Burris, Allyson Philobos, Joey Scavuzzo, and Bailey Sarian
Research provided by: Xander Elmore & The Dark History Research Team
Special thank you to Historical Consultants: Miles Pendleton
Shot By: Brian Jaggers
Edited by: Lily Young
Post Supervisor: Kelly Hardin 
Production Management: Ross Woodruff
Hair: Prince Angel
Makeup: Roni Herrera
I'm your host --  Bailey Sarian",May,Bailey Sarian
5,Abusive Prisons or Animal Oasis: Are Zoos Evil? | Dark History with Bailey Sarian,2023-04-27,528200.0,19231,1536,"Hi friends, happy Thursday!

Welcome to the Dark History podcast. When you think of the zoo, what comes to mind? Saying hi to cute animals? That’s what I thought too, until I started digging and learned that zoos are way darker than I thought. And when I say darker, I mean human zoos with REAL people and a black market animal trade. Let me know what you guys think about this one and if you want a human zoo episode. 

I appreciate you for coming by, and tune in next week for more Dark History. 

Want some cool Bailey Merch? 
Shop *NEW* Season 2 Dark History Merch: https://www.baileysarian.com

PJ's I am wearing in today's video: https://howl.me/cjyZVmEDsYB

To learn about more of today’s issues: https://youtube.com/@AboveTheNoise

To learn more about human zoos:
https://www.blackpast.org/global-african-history/benga-ota-1883-1916/

https://www.nytimes.com/2021/12/29/arts/design/human-zoos-africa-museum.html

https://www.bbc.com/news/magazine-16295827

https://www.nonviolenceny.org/post/exotic

https://timeline.com/human-zoo-worlds-fair-7ef0d0951035

https://www.ferris.edu/HTMLS/news/jimcrow/question/2006/october.htm

https://rarehistoricalphotos.com/human-zoo-history-pictures-1900-1958/

https://en.wikipedia.org/wiki/Human_zoo

https://news.cnrs.fr/articles/in-the-days-of-human-zoos
_______

You can find the Dark History podcast on Apple, Spotify, wherever you listen to your podcasts, and every Thursday here on my YouTube for the visual side of things. 

Apple Podcast- https://www.apple.co/darkhistory
Dark History Merch-  https://www.baileysarian.com
_______

FOLLOW ME AROUND  
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d 
Discord: https://discord.gg/BaileySarian

RECOMMEND A STORY HERE: cases4bailey@gmail.com 

Business Related Emails: baileysarianteam@wmeagency.com

Business Related Mail: 
Bailey Sarian 
4400 W. Riverside Dr., Ste 110-300 
Burbank, CA 91505

Chapters:
INTRO - 00:00
ZOOCHOSIS - 02:17
GUS THE BI-POLAR BEAR - 03:29
CITY OF FALCON - 09:01
KING HENRY’S LEOPARDS - 16:28
EVIL CARL - 18:41
SEAL FANATIC - 22:21
HEART-BREAKING WALRUSES - 27:09
HUMAN ZOOS - 33:43
ZOOS COME TO AMERICA - 41:35
BEARS FOR DINNER - 44:28
ANIMALS UNDER ATTACK - 46:50
THE NEW ZOO - 50:55
CONCLUSION - 55:45

Dark History is an Audioboom Original.

This podcast is Executive Produced by:
Bailey Sarian, Dunia McNeily from 3arts, Kevin Grosch, and Matt Enlow From Made In Network
Writers: Katie Burris, Allyson Philobos, Joey Scavuzzo, and Bailey Sarian
Research provided by: Xander Elmore & The Dark History Research Team
Special thank you to Historical Consultants: Derek Lartaud
Shot By: Brian Jaggers
Post Supervisor: Kelly Hardin 
Production Management: Ross Woodruff
Hair: Angel Gonzalez
Makeup: Roni Herrera
I'm your host --  Bailey Sarian",Apr,Bailey Sarian
6,"Dirty Water, Wikileaks, and Anthrax?! Would You Die For Your Country? | Dark History | Bailey Sarian",2023-04-20,656346.0,21610,1191,"Hi Friends, happy Thursday!


Welcome to the Dark History podcast, the show where we talk about that hot history goss. And today we’re talking about a new kind of gossip: the kind that could both save and ruin lives, should you blow the whistle. That’s right, today’s episode is on whistleblowers—people that saw something and said something, despite the risk to themselves. Because those in power don’t like it when you pull down their ivory tower. It’s a dirty job, but someone’s gotta do it.


I appreciate you for coming by, and tune in next week for more Dark History. 


Want some cool Bailey Merch? 
Shop *NEW* Season 2 Dark History Merch: https://www.baileysarian.com


PJ's I am wearing in today's video:  https://howl.me/cjyZW1bbi7z
_______
You can find the Dark History podcast on Apple, Spotify, wherever you listen to your podcasts, and every Thursday here on my YouTube for the visual side of things. 


Apple Podcast- https://www.apple.co/darkhistory
Dark History Merch-  https://www.baileysarian.com
_______

FOLLOW ME AROUND  
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d 
Discord: https://discord.gg/BaileySarian

RECOMMEND A STORY HERE: cases4bailey@gmail.com 

Business Related Emails: baileysarianteam@wmeagency.com

Business Related Mail: 
Bailey Sarian 
4400 W. Riverside Dr., Ste 110-300 
Burbank, CA 91505

Chapters:
INTRO - 00:00
POOR BARBARA - 00:49
THE W-WORD - 03:35
LINCOLN LAW - 07:05
THE FLINT EFF UP - 10:30
CANCER WATER - 14:29
CHELSEA MANNING - 21:27
FRONT-ROW SEAT TO DEATH - 24:11
DARK SIDE OF WHISTLEBLOWING - 35:53
ANTHRAX ATTACKS - 46:55
CONCLUSION - 50:53


Dark History is an Audioboom Original.


This podcast is Executive Produced by:
Bailey Sarian, Dunia McNeily from 3arts, Kevin Grosch, and Claire Turner From Made In Network
Writers: Katie Burris, Allyson Philobos, Joey Scavuzzo, and Bailey Sarian
Research provided by: The Dark History Research Team
Special thank you to Historical Consultant: Michael Touchton
Shot By: Tafadzwa Nemarundwe
Post Supervisor: Kelly Hardin 
Production Management: Ross Woodruff
Hair: Angel Gonzalez
Makeup: Roni Herrera
I'm your host --  Bailey Sarian",Apr,Bailey Sarian
7,TRAIN Obsessed Killer?! Just a fetish or more? Sylvester Matuska | Mystery & Makeup | Bailey Sarian,2023-04-17,1804622.0,70641,4416,"Shop sustainable and protective tech accessories available at casetify.com! Go to http://www.casetify.com/baileysarian today to save 15% off your order! Thanks to Casetify for sponsoring this video!

______________

Hi friends, happy Monday!

This case certainly is a unique one. I mean it’s not every day that you hear about a murderer who got off on causing trainwrecks with his imaginary friend. What do you think happened to Sylvester after all of this?
 
Also, let me know who you want me to talk about next time. Hope you have a great rest of your week, make good choices and I'll be seeing you very soon!! 
xo
Bailey Sarian

________


:  :    F O L L O W    M E     :  :

Discord: http://discord.gg/baileysarian
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d


RECOMMEND A STORY HERE: cases4bailey@gmail.com 

Business Related Emails: Baileysarianteam@wmeagency.com

Wanna Send Me Something?
Bailey Sarian
4400 W Riverside Dr Ste 110-300,
Burbank, CA 91505



_________

:  :    P R O D U C T S     U S E D    :  :

FACE

Urban Decay Stay Naked Quickie Shade 40 NN https://howl.me/cjxlBYPOg8T

One Size Beauty Turn Up the Base Butter Stick Concealer “Light 4 NR” https://howl.me/cjxlBYJL4lJ

Jouer High Coverage concealer “Creme Café” https://howl.me/cjxlBYGsiiN

Jaclyn Face It All Correcting Pressed Powder “Correcting Fair” https://howl.me/cjxlB0g71V5

Maybelline Fit Me Loose Finishing Powder Shade 10 Fair Light https://howl.me/cjxlBZvhNok

Patrick TA Creme Contour & Powder Bronzer Duo “She’s Statuesque” https://howl.me/cjxlBZztSXO

Tarte Amazonian Clay 12 Hour Blush “Dollface” https://howl.me/cjxlBZKqorN

Hourglass Ambient Finishing Powder “Diffused Light” https://howl.me/cjxlBZNB16o


BROWS
Jecca Black Brow Seal Brow Gel https://howl.me/cjxlBYH4MwX

Anastasia Beverly Hills Brow Pen “Medium Brown” https://howl.me/cjxlBYYw2kE


EYES
MAC “Groundwork” Pro Longwear Paint Pot https://howl.me/cjxlBZomsIZ

MAC Shadow “What Clout” https://howl.me/cjxlBZdoZfs

MAC Mascara “MAC Stack” https://howl.me/cjxlBZGD0o0


LIPS
About Face Lip Pencil “Clockwork” https://howl.me/cjxlBYlyBEE

MAC Lipstick “Myth” https://howl.me/cjxlBYSIOJl



♡ 
*These links are affiliate links. Which means, if you click on the link and purchase a product, a small percentage comes back to me. It helps me keep on keepin on with my videos, and I appreciate you if you choose to support. If you don’t, that’s ok too.",Apr,Bailey Sarian
8,Legalized Murder: When The Purge Happened In America  - Red Summer of 1919 | Dark History,2023-04-13,825854.0,29149,1558,"Hi Friends, Happy Thursday!

Welcome to the Dark History podcast. Remember that movie, The Purge? The one where for one day only you could commit whatever crime you wanted. Yeah,  back when it came out in 2013, everyone was losing their minds. They were so worried that people would just randomly start murdering each other. Well, what if I told you there was already a real-life Purge that had happened in America over a hundred years ago? Well, Buckle Up Baby. In today’s episode, we’re talking about the Red Summer of 1919. A time in history when riots broke out in 26 different cities across the country and the cops were just letting people murder.

Want some cool Bailey Merch? 
Shop *NEW* Season 2 Dark History Merch: https://www.baileysarian.com

To learn more about the Red Summer of 1919, check out these links:
https://www.usatoday.com/story/news/nation/2019/08/24/red-summer-1919-tree-honoring-black-victims-cut-down-alleged-crime/2107536001/

https://www.theworldwar.org/learn/about-wwi/red-summer

https://www.pbs.org/wgbh/americanexperience/features/t-town-red-summer-racist-mobs/

https://www.thirteen.org/wnet/jimcrow/stories_events_red.html

PJ's I am wearing in today's video: https://howl.me/cjv1JylxRgC

_______

You can find the Dark History podcast on Apple, Spotify, wherever you listen to your podcasts, and every Thursday here on my YouTube for the visual side of things. 

Apple Podcast- https://www.apple.co/darkhistory
Dark History Merch-  https://www.baileysarian.com
_______

FOLLOW ME AROUND  
Tik Tok: https://bit.ly/3e3jL9v
Instagram: http://bit.ly/2nbO4PR
Facebook: http://bit.ly/2mdZtK6
Twitter: http://bit.ly/2yT4BLV
Pinterest: http://bit.ly/2mVpXnY
Youtube: http://bit.ly/1HGw3Og
Snapchat: https://bit.ly/3cC0V9d 
Discord: https://discord.gg/BaileySarian

RECOMMEND A STORY HERE: cases4bailey@gmail.com 

Business Related Emails: baileysarianteam@wmeagency.com

Business Related Mail: 
Bailey Sarian 
4400 W. Riverside Dr., Ste 110-300 
Burbank, CA 91505

Chapters:
INTRO - 00:00
AMERICA IN FLAMES - 00:42
PRESIDENT WOODY - 05:04
RACISM RAGES - 09:11
MOB TO MILITIA - 14:08
CHI-TOWN - 15:16
VORTEX OF VIOLENCE - 23:13
COMMUNISM ENTERS THE CHAT - 27:07
LEGALIZED MURDER - 33:56
RED SUMMER - 37:15
CONCLUSION - 38:58

Dark History is an Audioboom Original.

This podcast is Executive Produced by:
Bailey Sarian, Dunia McNeily from 3arts, Kevin Grosch, and Claire Turner From Made In Network
Writers: Katie Burris, Allyson Philobos, Joey Scavuzzo, and Bailey Sarian
Research provided by: Regina Dolza & The Dark History Research Team
Shot By: Tafadzwa Nemarundwe
Post Supervisor: Kelly Hardin 
Production Management: Ross Woodruff
Hair: Angel Gonzalez
Makeup: Roni Herrera
I'm your host --  Bailey Sarian",Apr,Bailey Sarian
9,"Your Deepest, Darkest, JUICIEST Questions Answered | Vulnerable Q&A Mystery & Makeup | Bailey Sarian",2023-04-10,1494177.0,93391,13264,"Hi friends, happy Monday!

This week I wanted to sit down with you and all and answer YOUR questions. I really dive into it here so I hope you enjoy hearing a little bit more about what goes on in my life and how I make these videos come to life for you guys!

Also, let me know who you want me to talk about next time. Hope you have a great rest of your week, make good choices and I'll be seeing you very soon
xo
Bailey Sarian

________


:  :    F O L L O W    M E     :  :

Discord : http://discord.gg/baileysarian
Tik Tok : https://bit.ly/3e3jL9v
Instagram : http://bit.ly/2nbO4PR
Facebook : http://bit.ly/2mdZtK6
Twitter : http://bit.ly/2yT4BLV
Pinterest : http://bit.ly/2mVpXnY
Youtube : http://bit.ly/1HGw3Og
Snapchat : https://bit.ly/3cC0V9d


RECOMMEND A STORY HERE : cases4bailey@gmail.com 

Business Related Emails : Baileysarianteam@wmeagency.com

Wanna Send Me Something?
Bailey Sarian
4400 W Riverside Dr Ste 110-300,
Burbank, CA 91505",Apr,Bailey Sarian
