,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,He Hid 'Murder Kits' All Over America,2023-05-04,822866,27740,1670.0,"AD - Claim your SPECIAL OFFER for MagellanTV here: https://try.magellantv.com/eleanorneale. Start your free trial TODAY so you can watch Murder on Millionaire's Mile and all of MagellanTV’s other exclusive true crime content: https://www.magellantv.com/video/murder-on-millionaires-mile

Today's solved true crime case is on Israel Keyes, known as the Kill Kit Killer, he is one of the worst serial killers of the 21st century. He is infamous for being a very organised and calculated killer, creating murder kits to hide all throughout the states for when he was ready to act.

My second channel -  @ellieneale1  

My Socials:
TikTok - http://vm.tiktok.com/51Heru/
Insta - https://www.instagram.com/eleanorneale/
Twitter - https://twitter.com/EleanorxNeale

Business - EleanorNeale@sixteenth.co

Thank you for watching!!  Xx",May,Eleanor Neale
1,The Twisted Mind Of Casey Anthony,2023-04-19,1440623,47109,4372.0,"AD - Go to https://casetify.com/eleanor  to save 15% off your CASETiFY order!

Today's solved true crime case is on the twisted mind of Casey Anthony, mother of 2 year old Caylee Marie Anthony who disappeared in 2008. Her body was later recovered from a swamp when it was concluded that baby Caylee was murdered - many people believe her own mother Casey to be responsible - what do you think?

My second channel -  @ellieneale1  

My Socials:
TikTok - http://vm.tiktok.com/51Heru/
Insta - https://www.instagram.com/eleanorneale/
Twitter - https://twitter.com/EleanorxNeale

Business - EleanorNeale@sixteenth.co

Thank you for watching!!  Xx",Apr,Eleanor Neale
2,A Savage Murder Planned on MSN,2023-03-30,1246148,43293,1734.0,"AD - 🔎👒 Download June's Journey for free here: https://woo.ga/5lwkp3
Thanks to June's Journey for sponsoring this video

Today's solved true crime case is on the MSN Killers, Kruse Wellwood and Cameron Moffat - teenage murderers that took the life of their best friend Kimberly Proctor

My second channel - @ellieneale1 

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale

Business - EleanorNeale@sixteenth.co

Thank you for watching!!  Xx",Mar,Eleanor Neale
3,The Woman That Solved Her Own Murder,2023-03-23,727216,35348,1389.0,"AD - Go to https://casetify.com/eleanor  to save 15% off your CASETiFY order!

Today's solved true crime case is on Teresita Basa, the murder victim who solved her own murder from beyond the grave when her ghost started possessing her friend... 

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Mar,Eleanor Neale
4,Parents Hunted Daughter's Killer Across The World,2023-03-17,939948,34909,1359.0,"AD - Claim your SPECIAL OFFER for MagellanTV here: https://try.magellantv.com/eleanorneale. Start your free trial TODAY so you can watch Final Curtain and all of MagellanTV’s other exclusive true crime content: https://www.magellantv.com/video/final-curtain

Today's solved true crime case is on the murder of Hannah Foster, a 17 year old British student who was kidnapped and killed by Indian native Maninder Pal Singh Kohli. He didn't even give police time to suspect him before he fled the country and hid out in India for A WHOLE YEAR until Hannah's family made the journey out there themselves to bring him to justice.

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Mar,Eleanor Neale
5,The White House Farm Family Massacre,2023-03-10,992877,32428,1161.0,"AD - Click here https://ritual.com/ENEALE20 to get 20% off your first month with Ritual. Thanks Ritual for partnering on this video.


*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease

Today's solved true crime case is on the white house farm massacre of the Bamber family. Jeremy Bamber was the one to alert the police that his sister Sheila Caffell had murdered her whole family, but as police looked into the case they realised there might be way more to it than meets the eye. This case is commonly regarded as the worst miscarriage of justice in UK history, but what do you think?

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Mar,Eleanor Neale
6,The 3 Minute Murder of Jordan Davis,2023-03-07,711990,29646,1381.0,"AD - 🌏 Get Exclusive NordVPN deal here ➼ https://nordvpn.com/eleanor 
It’s risk-free with Nord’s 30-day money-back guarantee! ✌

Today's solved true crime video is on the 3 minute murder of Jordan Davis, a 17 year old boy out in the car with his friends. When they pulled up to a gas station playing loud music one day in 2012, Michael Dunn couldn't control his anger and killed this total stranger - many people believe there were obvious racist motives behind this killing, and it has opened many discussions surrounding gun control laws in America.

Education & donation links:
Giffords for Gun Laws - https://giffords.org/lawcenter/gun-laws/
Guns Down America - https://www.gunsdownamerica.org/
Alliance for Gun Responsibility - https://foundation.gunresponsibility.org/
Sandy Hook Promise - https://www.sandyhookpromise.org/

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Mar,Eleanor Neale
7,The UK's Worst Ever Necrophile Murderer,2023-02-15,1260189,40883,1994.0,"AD - Go to https://casetify.com/eleanor  to save 15% off your CASETiFY order!

Today's solved true crime case is on the bedsit murders from Tunbridge Wells, Kent in south England. David Fuller murdered 2 women in the 1980s and managed to get away with murder for over 30 years before he was discovered to be abusing his job in a hospital committing the worst case of necrophilia in the UK

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Feb,Eleanor Neale
8,Billionaire CEO Murdered & Stuffed Inside a Suitcase,2023-02-08,995395,33686,2234.0,"AD - Claim your SPECIAL OFFER for MagellanTV here: https://try.magellantv.com/eleanorneale. Start your free trial TODAY so you can watch How To Catch A Killer and all of MagellanTV’s other exclusive true crime content: https://www.magellantv.com/video/how-to-catch-a-killer

Today's solved true crime case is on Brazilian Billionaire CEO entrepreneur Marcos Matsunaga, murdered and stuffed inside of a suitcase. But who could have done such an awful thing? For a while police thought it might be a kidnapping and ransom case, but as time went on.. the truth came out.

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Feb,Eleanor Neale
9,'Crazy Dave' the Teen Slayer,2023-01-30,1005972,30404,1287.0,"AD - 🌏 Get Exclusive NordVPN deal here ➼ https://nordvpn.com/eleanor  
It's risk-free with Nord's 30-day money-back guarantee! ✌

Today's solved true crime case is on a serial killer known as 'Crazy Dave' - David Edward Maust is known as the teen slayer - and has been compared to both John Wayne Gacy and 'the gay slayer' Colin Ireland.

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Jan,Eleanor Neale
10,The INFAMOUS Pizza Bomber,2023-01-27,890763,30572,1448.0,"AD - Claim your SPECIAL OFFER for MagellanTV here: https://try.magellantv.com/eleanorneale. Start your free trial TODAY so you can watch The Hockey Stick Killer and all of MagellanTV’s other exclusive true crime content: https://www.magellantv.com/video/hockey-stick-killer

Today's solved true crime case is on the 'pizza bomber', Brian Wells. This is one hell of a case, including a heist, an abduction, a scavenger hunt, multiple murders, a bank robbery, a collar bomb and a pizza delivery guy.

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Jan,Eleanor Neale
11,The Smiling Killer,2023-01-17,817702,33277,1301.0,"AD - 🌏 Get Exclusive NordVPN deal here ➼ https://nordvpn.com/eleanor  
It's risk-free with Nord's 30-day money-back guarantee! ✌

Today's solved true crime case is on the smiling killer, Danta Wright - a 17 year old boy that shot another young man named Jordan Klee in an armed robbery gone wrong. But Danta gets the name 'the smiling killer' for what happened after the murder - when he laughed his way through the court trial, in front of his victim's family.

my second channel - @ellieneale1 

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Jan,Eleanor Neale
12,America's YOUNGEST Serial Killer Ever,2023-01-12,1151184,35708,2757.0,"AD - Go to http://www.casetify.com/eleanor to save 15% off your CASETiFY order!

Today's solved true crime case is on America's youngest EVER serial killer, Craig Price. Who was just 13 years old when he killed Rebecca Spencer and 15 when he murdered a family of 3. Known as the Warwick slasher, Craig is an infamous killer in his hometown in Rhode Island.

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Jan,Eleanor Neale
13,The Island Party Murders,2022-12-29,1223322,41856,3409.0,"AD - 🌏 Get Exclusive NordVPN deal here ➼ https://nordvpn.com/eleanor  
It's risk-free with Nord's 30-day money-back guarantee! ✌

Today's solved true crime case is on the island party murders of ben smart and olivia hope - a couple presumed to be murdered, but as of right now, no bodies have been found - the two of them just disappeared on new years eve and have been missing ever since. Scott Watson is currently convicted for the murders, although many people believe this was a miscarraige of justice and he is falsely convicted. This is a huge huge case in New Zealand, albeit one I'd never heard of before this video, so I would love to know your thoughts on it!

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Dec,Eleanor Neale
14,Killer Santa’s Christmas Day Massacre,2022-12-22,711189,29878,1088.0,"AD - Claim your SPECIAL OFFER for MagellanTV here: https://try.magellantv.com/eleanorneale. Start your free trial TODAY so you can watch The Samurai Killer and all of MagellanTV’s other exclusive true crime content: https://www.magellantv.com/video/samurai-killer

Today's solved true crime case is on the christmas day massacre - a killing spree committed by Aziz Yazdanpanah while dressed as santa claus. This case is also known as the santa slaying and the grapevine massacre.

Become a Member of My Channel! (you get cool perks!) - https://www.youtube.com/channel/UCFMbX7frWZfuWdjAML0babA/join

My second channel - https://www.youtube.com/channel/UCCHp47gntygWpivIiw45l4Q

FOLLOW ME ON SOCIALS !
TikTok - EleanorNeale http://vm.tiktok.com/51Heru/
Insta - eleanorneale https://www.instagram.com/eleanorneale/
Twitter - EleanorXNeale https://twitter.com/EleanorxNeale


Email *BUSINESS ONLY* - EleanorNeale@sixteenth.co
Please do not email case requests here, as I will not see them! You can leave requests in the comments, I always read them :)

Thank you for watching!!  Xx",Dec,Eleanor Neale
