,Title
0,He Hid 'Murder Kits' All Over America
1,The Twisted Mind Of Casey Anthony
2,A Savage Murder Planned on MSN
3,The Woman That Solved Her Own Murder
4,Parents Hunted Daughter's Killer Across The World
5,The White House Farm Family Massacre
6,The 3 Minute Murder of Jordan Davis
7,The UK's Worst Ever Necrophile Murderer
8,Billionaire CEO Murdered & Stuffed Inside a Suitcase
9,'Crazy Dave' the Teen Slayer
10,The INFAMOUS Pizza Bomber
11,The Smiling Killer
12,America's YOUNGEST Serial Killer Ever
13,The Island Party Murders
14,Killer Santa’s Christmas Day Massacre
15,The Teacup Poisoner Serial Killer
16,The 'Gay Slayer' Mass Murderer
17,The Most Evil Mother in America
18,The Murder Of The UK's Worst Child Predator
19,The Sledgehammer Killer that went on The Dr Phil Show
20,Teen Blogger's Murderous Masterplan
21,Pregnant Mother Murdered For Her Unborn Baby
22,Murdered On Her Walk Home
23,The Serial Killer Taxi Driver
24,School Girl MURDERED In The Park
25,12 Year Old's SLENDER MAN SACRIFICE
26,Twisted Killer's Deadly Love Affair
27,Murdered For 'Being a Goth'
28,Daddy's Deadly House Fire Plot
29,TEACHER Murdered By HER OWN STUDENT
30,THE KILLER CLOWN: JOHN WAYNE GACY
31,Murder Solved by Killer's OWN TWEETS
32,VAMPIRE Killer's Fatal 'LOVE BITE'
33,Corrupt Prison Guards MURDERING Inmates?
34,MOST WANTED MAN IN ENGLAND - The Murderous Rampage of Raoul Moat
35,Football Star Turned MURDEROUS MONSTER
36,Beheaded In The Street - Lee Rigby's Tragic Murder
37,Murdered On Her FIRST DAY At Work
38,The 'Angel of Death' Serial Killer (Beverley Allitt) part 2
39,THE 'NIGHTMARE NURSE' SERIAL KILLER (Beverley Allitt)
40,The Casanova Killer - Paul John Knowles (part 2)
41,'The MORE BRUTAL Ted Bundy' - Paul John Knowles
42,The 12 YEAR OLD Killer & Her Werewolf Boyfriend
43,The Body In The Woodchipper
44,THE CHILLING TEXAS TEEN MURDERS
45,The Airbnb Host That MURDERED Their Guest
46,THE MANCHESTER 'PSYCHO' KILLER
47,The Lesbian Vampire Killer
48,THE TRUTH OR DARE KILLER
49,THE DUNFERMLINE MONSTER (Ross Taggart)
50,THE TRAGIC MURDER OF CAROL TAGGART
51,THE TRAGIC MURDER OF ANGELA RABOTTE
52,THE BODY IN THE ABANDONED HOUSE (Ana Kriégel)
53,THE TRAGIC MURDER OF ANA KRIEGEL
54,A Murder On Christmas Day
55,'THE HILLBILLY FROM HELL' SERIAL KILLER
56,THE MURDER OF A PLAYBOY BUNNY
57,THE 250 MURDERS OF HAROLD SHIPMAN
58,THE U.K'S WORST SERIAL KILLER EVER (DOCTOR DEATH)
59,THE HOUSE OF BLOOD MURDERS
60,THE KILLER OF 100 BOYS
61,THE MODEL THAT MURDERED THE COMPETITION
62,The FETISH KILLING Of Elaine O'Hara
63,The MURDER Disguised As BDSM
64,THE TRAGIC MURDER OF LENA BRUCE
65,THE DANNY PHANTOM FANBOY KILLER
66,THE SEX SLAVE MURDERS PART 2
67,THE SEX SLAVE MURDERS
68,'BRAIN EATER' SERIAL KILLER KEPT IN A GLASS CAGE
69,MURDER ON BROADWAY (The Death of Adrienne Shelly)
70,THE TRAGIC MURDER OF MATTHEW SHEPARD PART 2
71,THE TRAGIC MURDER OF MATTHEW SHEPARD
72,THE UK'S MOST DANGEROUS WOMAN (Joanna Dennehy) Part 2
73,THE UK'S MOST DANGEROUS DUO (Joanna Dennehy) Part 1
74,THE BEAUTY QUEEN KILLER PART 3
75,THE BEAUTY QUEEN KILLER PART 2
76,THE BEAUTY QUEEN KILLER
77,THE TRAGIC MURDER OF JESSICA LUNSFORD
78,THE KIDNAPPING OF JESSICA LUNSFORD
79,THE MURDER OF ASPIRING FOOTBALLER CHAMPION GANDA
80,THE 'OF MICE & MEN' KILLER (Eddie Leonski) Part 3
81,THE SINGING STRANGLER (Eddie Leonski) Part 2
82,THE BROWNOUT MURDERS (Eddie Leonski) Part 1
83,THE WOMAN WHO PREDICTED HER OWN MURDER
84,SCOTLAND'S MOST EVIL SERIAL KILLER: PETER MANUEL
85,THE BEAST OF BIRKENSHAW
86,THE STARBUCKS COVER UP MURDER
87,MURDERED BY HER BEST FRIENDS
88,THE 8 CHILD MASSACRE
89,THE HONEY TRAP MURDER
90,THE GREEN CHAIN RIPPER
91,THE WIMBLEDON MURDER
92,THE TRAGIC MURDER OF RACHEL NICKELL
93,THE GRIM REAPER OF PARIS
94,THE ANIME STUDIO MASSACRE
95,MURDERED ON THE LONDON UNDERGROUND
96,THE CORONATION STREET KILLER
97,THE SIZZLERS MASSACRE
98,THE CHICKEN COOP MURDERS
99,THE WINEVILLE MURDERS
100,THE TRAGIC MURDER OF CIARA GRIMES
101,THE GANG MURDER OF ANITA COBBY
102,KIDNAPPED AND TORTURED - ANITA COBBY'S STORY
103,THE KIDNAPPING AND MURDER OF SANDRA CANTU
104,THE SCREWDRIVER KILLER
105,THE WORLD'S YOUNGEST SERIAL KILLER
106,THE HAIRCUT KILLER Part 2 (Danilo Restivo)
107,THE HAIRCUT KILLER
108,THE BODY FOUND IN THE SUITCASE (Jasmine Fiore)
109,THE REALITY TV SHOW MURDER
110,THE BODY LEFT IN THE LANDFILL
111,THE SCHOOLBOY SERIAL KILLER
112,THE ENGLISH EYEBALL KILLER
113,THE TRAGIC MURDER OF MADDIE CLIFTON
114,THE CORPSE UNDER THE WATERBED
115,GRAVE ROBBER MADE DOLLS OF GIRLS CORPSES
116,THE DOLLHOUSE OF HUMAN CORPSES
117,Teenager SOLVED HER OWN MURDER With Fitness App
118,CATFISHED BY KILLER? (Kedarie Johnson)
119,THE TRAGIC MURDER OF KEDARIE JOHNSON
120,THE DNEPROPETROVSK MANIACS
121,'3 GUYS 1 HAMMER' MURDERS
122,ESCAPED CHILD KILLER'S MURDER SPREE
123,THE TRAP HOUSE MURDER
124,THE TIKTOK FAMOUS KILLER
125,ABDUCTED FOR 3 DAYS OF HELL
126,THE BLOODBATH ARTIST
127,THE CROSSBOW CANNIBAL
128,THE CHINESE TAKEAWAY KILLER
129,THE ACID BATH MURDERER part 2
130,THE ACID BATH MURDERER
131,MURDERER PLAYS SICK TEXT MESSAGE GAME
132,THE LOVE TRIANGLE THAT ENDED IN MURDER (Catherine Wells-Burr)
133,THE 12 YEAR OLD KILLER (The Devil's daughter)
134,THE TRAGIC MURDER OF DAMILOLA TAYLOR
135,THE MASHED POTATO MURDERER
136,THE MURDER OF FAMOUS RAPPER CHINX DRUGZ
137,THE PEMBROKESHIRE MURDERS
138,MARK DUGGAN - THE MURDER THAT STARTED THE LONDON RIOTS
139,THE KFC MASSACRE
140,THE MASSACRE AT 9 KELVIN ROAD (Clydach Murders)
141,THE CLYDACH MURDERS
142,THE BUS STATION MURDER OF SHIRLEY LEACH
143,THE MURDER OF KAREN BUCKLEY
144,THE MURDER IN THE GRAVEYARD
145,THE COUPLE MURDERED & LEFT BY A DUMPSTER
146,THE LUST KILLER (Jerry Brudos)
147,THE SHOE FETISH SLAYER (Jerry Brudos)
148,TAXI CAB SLAYER KILLS 'TO KNOW HOW IT FEELS'
149,THE HOMICIDE AT THE HOSPITAL (Doctor Margo Prade)
150,THE TRAGIC MURDER OF SCHOOLGIRL HEATHER TELL
151,DOROTHEA PUENTE'S GARDEN OF CORPSES
152,THE HOUSE OF HORRORS ON F STREET
153,THE DEATH HOUSE LANDLADY
154,THE FACEBOOK KILLER
155,THE ICE BOX MURDERS
156,THE TRAGIC MURDER OF CHILD STAR JUDITH BARSI
157,THE YOGA STORE MURDER (Lululemon)
158,The Lululemon Murder
159,THE DARLINGTON CANNIBAL
160,THE CORPSE AT THE CARNIVAL
161,MARK HOBSON THE SPREE KILLER
162,THE KILLER LOBSTER BOY
163,THE 'MR GAY UK' KILLER
164,THE HUNGERFORD MASSACRE - PART 2
165,THE HUNGERFORD MASSACRE
166,THE ALBERT FISH CASE
167,IAN BRADY & MYRA HINDLEY - THE MOORS MURDERS FINALE
168,THE MOORS MURDERS - Part 2
169,MYRA HINDLEY & IAN BRADY
170,THE MAN IN BLACK SERIAL KILLER
171,MUSIC PRODUCER TURNED MURDERER - PHIL SPECTOR
172,THE PETER SCULLY CASE
173,THE JOANNA YEATES CASE
174,THE KAYLEIGH HAYWOOD CASE
175,THE AXEMAN OF NEW ORLEANS
176,THE HELLO KITTY MURDER
177,THE SERIAL KILLER ON BLOOD MOUNTAIN
178,THE LINDSEY BAUM CASE
179,H H HOLMES & THE MURDER CASTLE
180,THE CHRISTINE PAOLILLA CASE
181,THE HELEN BAILEY CASE
182,THE MONSTER OF WORCESTER - DAVID MCGREAVY
183,JACK THE RIPPER SUSPECTS + THEORIES ft. Kendall Rae
184,THE JESSIE BLODGETT CASE
185,THE ED GEIN CASE
186,THE RACHEL BURKHEIMER CASE
187,THE GRINDR KILLER
188,THE JENNIFER WEBB CASE
189,THE RUSSELL BOHLING CASE
190,THE DELIA DAY CASE
191,THE ALLEN IVANOV CASE
192,THE CONRAD ROY CASE
193,THE SHANDA SHARER CASE
